"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",88,-0.777440398127937,-3.16209336899179,1e-10,6.92222222222222e-09,5.74853801169591e-09,1445,"tags=67%, list=11%, signal=60%","RPL31/RPS15/EEF2/RPL37/RPS18/RPL9/FAU/RPL10/RPSA/RPLP1/RPL28/RPL8/RPS23/EEF1B2/RPS4X/RPL6/RPS21/RPS6/RPS17/RPL22/RPL36AL/RPS16/RPL37A/RPLP2/RPL10A/RPS3A/RPL34/RPL36A/RPS27A/RPL5/RPS11/RPL27/RPS19/RPS25/RPS20/RPS15A/RPL26/RPS5/RPL32/RPL12/RPL3/RPL4/RPS12/RPS7/RPL11/RPS4Y1/RPL38/RPS27/RPL14/RPL19/RPL18A/RPS2/RPS29/RPL36/RPL35/RPL30/RPL13/RPL13A/RPL21"
"REACTOME_NEUTROPHIL_DEGRANULATION","REACTOME_NEUTROPHIL_DEGRANULATION",433,0.615820008701878,3.12556583973902,1e-10,6.92222222222222e-09,5.74853801169591e-09,2716,"tags=55%, list=20%, signal=45%","S100A9/PYGL/AGPAT2/TLR2/RNASE2/SIRPB1/DEFA4/MNDA/S100P/RETN/MMP9/GCA/CXCL1/LRG1/RNASE3/S100A12/HP/SLPI/LCN2/CEACAM1/S100A8/MPO/SERPINB10/LTF/QSOX1/MAPK14/CHIT1/CEACAM3/MS4A3/C3AR1/LAIR1/CTSD/IDH1/BPI/FPR1/FPR2/CEACAM8/DEFA1/CYSTM1/CEACAM6/AZU1/MMP25/OLFM4/PTX3/HK3/CKAP4/PRTN3/CPNE3/PGLYRP1/SLC2A5/SDCBP/CYBB/GYG1/GGH/ALDH3B1/FOLR3/NRAS/MGAM/FCAR/CAMP/LTA4H/CTSG/PGM2/ATP11A/DEFA1B/STOM/RAB18/ATP8B4/ATG7/CYBA/TRPM2/GSN/CRISP3/ITGAM/ALDOA/SERPINB1/GALNS/SLC11A1/GPR84/OLR1/ORM1/ARPC5/AMPD3/PNP/TNFAIP6/RAB5B/SLC15A4/DOK3/PLEKHO2/RAB7A/ELANE/CR1/HBB/FGR/CAP1/OSTF1/CXCR1/CHI3L1/SLC2A3/SIGLEC9/ARG1/COTL1/FCGR3B/ANPEP/MMP8/CD55/CLEC4D/TCN1/PRKCD/BST1/ALOX5/CLEC5A/RHOA/PPBP/RAB3D/CD59/PKM/MAPK1/B4GALT1/ATP11B/TOLLIP/RAC1/RAB27A/C5AR1/PGRMC1/PLAUR/ANO6/NBEAL2/QPCT/SIGLEC5/CD58/MVP/DNAJC3/TOM1/ATP6V0A1/TSPAN14/NPC2/CCT8/ARSA/CXCR2/ROCK1/NHLRC3/SIRPA/RAB31/NCSTN/GLB1/DDX3X/ATP6V1D/CDA/LILRB3/CMTM6/DYNLL1/VNN1/LAMTOR1/VAPA/RAP1A/DOCK2/SVIP/UNC13D/HEXB/PDXK/PTPRJ/CD93/CREG1/CTSS/ITGAX/MME/RAB10/ARL8A/CD47/YPEL5/FUCA2/TCIRG1/PSMB7/CAT/GPI/ENPP4/PSEN1/SLCO4C1/LAMP2/CD36/PLD1/GLA/CANT1/DEGS1/DSN1/SELL/VCL/LAMTOR3/PLAC8/ARMC8/HSPA1A/ANXA2/DGAT1/DNAJC5/PLAU/GAA/PSMA2/FGL2/VAT1/ARSB/ATAD3B/DNAJC13/BRI3/ATP8A1/PADI2/ADAM10/ACTR2/PGAM1/IST1/FCER1G/FTL/TIMP2/HMGB1/APAF1/SIGLEC14/CRISPLD2/SCAMP1/PTPRN2/HLA-C/HPSE/CD33/PSMD3/P2RX1/LILRA3/CD68/CPPED1/NFKB1/COMMD9/CTSB/CSTB/ACTR10/OSCAR/GMFG/AP1M1/DBNL/BST2/PRCP"
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",97,-0.725605670387325,-3.00622323288067,1e-10,6.92222222222222e-09,5.74853801169591e-09,1445,"tags=59%, list=11%, signal=53%","RPL31/RPS15/RPL37/RPS18/RPL9/FAU/RPL10/RPSA/RPLP1/RPL28/RPL8/RPS23/RPS4X/RPL6/RPS21/RPS6/RPS17/RPL22/RPL36AL/RPS16/RPL37A/RPLP2/RPL10A/RPS3A/RPL34/RPL36A/RPS27A/RPL5/RPS11/RPL27/RPS19/RPS25/RPS20/RPS15A/RPL26/RPS5/RPL32/RPL12/RPL3/RPL4/RPS12/RPS7/RPL11/RPS4Y1/RPL38/RPS27/RPL14/RPL19/RPL18A/RPS2/RPS29/RPL36/RPL35/RPL30/RPL13/RPL13A/RPL21"
"REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM",102,-0.702962725422818,-2.97043123980513,1e-10,6.92222222222222e-09,5.74853801169591e-09,1445,"tags=56%, list=11%, signal=50%","RPL31/RPS15/RPL37/RPS18/RPL9/FAU/RPL10/RPSA/RPLP1/RPL28/RPL8/RPS23/RPS4X/RPL6/RPS21/RPS6/RPS17/RPL22/RPL36AL/RPS16/RPL37A/RPLP2/RPL10A/RPS3A/RPL34/RPL36A/RPS27A/RPL5/RPS11/RPL27/RPS19/RPS25/RPS20/RPS15A/RPL26/RPS5/RPL32/RPL12/RPL3/RPL4/RPS12/RPS7/RPL11/RPS4Y1/RPL38/RPS27/RPL14/RPL19/RPL18A/RPS2/RPS29/RPL36/RPL35/RPL30/RPL13/RPL13A/RPL21"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",108,-0.692189390268429,-2.92537499406129,1e-10,6.92222222222222e-09,5.74853801169591e-09,1445,"tags=54%, list=11%, signal=48%","RPL31/RPS15/RPL37/RPS18/RPL9/FAU/RPL10/RPSA/RPLP1/DDOST/RPL28/RPL8/RPS23/RPS4X/RPL6/RPS21/RPS6/RPS17/RPL22/RPL36AL/RPS16/RPL37A/RPLP2/RPL10A/RPS3A/RPL34/RPL36A/RPS27A/RPL5/RPS11/RPL27/RPS19/RPS25/RPS20/RPS15A/RPL26/RPS5/RPL32/RPL12/RPL3/RPL4/RPS12/RPS7/RPL11/RPS4Y1/RPL38/RPS27/RPL14/RPL19/RPL18A/RPS2/RPS29/RPL36/RPL35/RPL30/RPL13/RPL13A/RPL21"
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",112,-0.678545915347048,-2.88658576461459,1e-10,6.92222222222222e-09,5.74853801169591e-09,1445,"tags=52%, list=11%, signal=47%","RPL31/RPS15/RPL37/RPS18/RPL9/FAU/RPL10/RPSA/RPLP1/RPL28/RPL8/RPS23/RPS4X/PPP2R2A/RPL6/RPS21/RPS6/RPS17/RPL22/RPL36AL/RPS16/RPL37A/RPLP2/RPL10A/RPS3A/RPL34/RPL36A/RPS27A/RPL5/RPS11/RPL27/RPS19/RPS25/RPS20/RPS15A/RPL26/RPS5/RPL32/RPL12/RPL3/RPL4/RPS12/RPS7/RPL11/RPS4Y1/RPL38/RPS27/RPL14/RPL19/RPL18A/RPS2/RPS29/RPL36/RPL35/RPL30/RPL13/RPL13A/RPL21"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",116,-0.672844364910155,-2.87061870249478,1e-10,6.92222222222222e-09,5.74853801169591e-09,2225,"tags=62%, list=17%, signal=52%","RPS3/RPL41/PABPC1/RPS8/EIF3D/EIF2S3/RPL29/EIF3L/UBA52/EIF4H/RPL31/RPS15/EIF3E/RPL37/RPS18/RPL9/FAU/EIF3F/RPL10/EIF4B/RPSA/RPLP1/RPL28/RPL8/RPS23/RPS4X/EIF3K/RPL6/RPS21/RPS6/RPS17/RPL22/RPL36AL/RPS16/RPL37A/RPLP2/RPL10A/EIF3M/RPS3A/RPL34/RPL36A/RPS27A/RPL5/RPS11/RPL27/RPS19/RPS25/RPS20/RPS15A/RPL26/RPS5/RPL32/RPL12/RPL3/RPL4/RPS12/RPS7/RPL11/RPS4Y1/RPL38/RPS27/RPL14/RPL19/RPL18A/RPS2/RPS29/RPL36/RPL35/RPL30/RPL13/RPL13A/RPL21"
"REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING",184,-0.623156044933318,-2.85885001200175,1e-10,6.92222222222222e-09,5.74853801169591e-09,2564,"tags=50%, list=19%, signal=41%","RPL23A/TSR1/EXOSC2/PELP1/RPS10/UTP14A/DIS3/RPS3/RPL41/LTV1/DDX52/RPS8/LAS1L/NOL11/RPL29/UBA52/PDCD11/WDR18/RIOK1/RPL31/RPS15/NOB1/EBNA1BP2/RPL37/RPS18/RPL9/NOP56/FAU/BOP1/NOL9/RPL10/FBL/RPP38/RPSA/TEX10/NOP14/RPLP1/THUMPD1/RPL28/RPL8/DIMT1/EXOSC5/RPS23/UTP3/RPS4X/UTP18/RPL6/RPS21/RPS6/RPS17/RPL22/RPL36AL/RPS16/RPL37A/RPLP2/RPL10A/RPS3A/RPL34/RPL36A/RPS27A/RPL5/RPS11/RPL27/RPS19/RPS25/RPS20/RPS15A/RPL26/RPS5/PNO1/RPL32/RPL12/RPL3/RPL4/RPS12/RPS7/RPL11/RPS4Y1/RPL38/RPS27/RPL14/RPL19/RPL18A/RPS2/RPS29/RPL36/RPL35/RPL30/RPL13/RPL13A/IMP3/RPL21"
"REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION",149,-0.621050109813367,-2.75979711261272,1e-10,6.92222222222222e-09,5.74853801169591e-09,1445,"tags=42%, list=11%, signal=38%","RPL31/RPS15/RPL37/RPS18/RPL9/FAU/POLR2F/POLR2C/RPL10/PARP1/RPSA/RPLP1/CPSF4/POM121C/RPL28/RPL8/RPS23/RPS4X/RPL6/RPS21/RPS6/RPS17/RPL22/RPL36AL/RPS16/RPL37A/RPLP2/RPL10A/RPS3A/RPL34/RPL36A/RPS27A/RPL5/RPS11/RPL27/RPS19/RPS25/RPS20/RPS15A/RPL26/RPS5/RPL32/RPL12/RPL3/RPL4/RPS12/RPS7/RPL11/RPS4Y1/RPL38/RPS27/RPL14/RPL19/RPL18A/RPS2/RPS29/RPL36/RPL35/RPL30/POM121/RPL13/RPL13A/RPL21"
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",143,-0.620123458120605,-2.72722848511485,1e-10,6.92222222222222e-09,5.74853801169591e-09,1445,"tags=42%, list=11%, signal=38%","RPL31/RPS15/RPL37/RPS18/RPL9/PSMA7/FAU/RPL10/PSMC5/RPSA/RPLP1/RPL28/RPL8/RPS23/RPS4X/RPL6/RPS21/RPS6/RPS17/RPL22/RPL36AL/RPS16/RPL37A/RPLP2/ROBO3/RPL10A/RPS3A/RPL34/RPL36A/RPS27A/RPL5/RPS11/RPL27/RPS19/RPS25/RPS20/RPS15A/RPL26/RPS5/RPL32/RPL12/RPL3/RPL4/RPS12/RPS7/RPL11/RPS4Y1/RPL38/RPS27/RPL14/RPL19/RPL18A/RPS2/RPS29/RPL36/RPL35/RPL30/RPL13/RPL13A/RPL21"
