"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",192,0.737421470567935,3.44795084998183,1e-10,7.14285714285714e-10,3.30827067669173e-10,1661,"tags=61%, list=12%, signal=54%","SERPINE1/CXCL2/TLR2/CXCL3/CXCL1/PTX3/DUSP1/SGK1/PPP1R15A/FOSB/CCL20/TNFAIP6/NAMPT/G0S2/CCL2/ATF3/IFNGR2/PHLDA1/LDLR/SERPINB2/CD69/CD83/JUN/SOCS3/TRIB1/ZFP36/ZC3H12A/PHLDA2/BCL2A1/ATP2B1/FOSL1/KLF6/BCL6/NINJ1/NFKB1/CDKN1A/CXCL10/AREG/GADD45B/NFKB2/IL6/PFKFB3/MXD1/MCL1/PTGS2/CCL4/PTPRE/NFKBIA/DRAM1/IL1B/IFIT2/PLEK/IFIH1/YRDC/EDN1/OLR1/TNFAIP2/ABCA1/MARCKS/SAT1/GCH1/PDE4B/SPHK1/SOD2/SIK1/EGR2/SPSB1/SLC16A6/DUSP2/RIPK2/EGR3/PLAUR/BIRC2/F3/TANK/FUT4/SERPINB8/SDC4/ETS2/PNRC1/MAFF/TNIP2/HBEGF/GADD45A/VEGFA/TNFAIP3/NR4A3/NR4A1/ID2/IL1A/REL/NFIL3/NR4A2/NFAT5/CCRL2/JAG1/ICAM1/CCNL1/DENND5A/EGR1/INHBA/KDM6B/LAMB3/MAP3K8/ZBTB10/BHLHE40/SLC2A3/TRAF1/DUSP5/DUSP4/HES1/KLF4/KLF10/IER3/IL6ST/CEBPD/CFLAR"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",186,0.694030306151921,3.24759369366672,1e-10,7.14285714285714e-10,3.30827067669173e-10,2285,"tags=61%, list=17%, signal=52%","CCL7/IFI27/FCGR1A/TNFAIP6/IFITM3/NAMPT/CCL2/PNP/IFI44/CD69/OAS3/SOCS3/MX1/SERPING1/PARP14/IFI44L/FAS/LGALS3BP/MYD88/EPSTI1/NFKB1/EIF2AK2/CDKN1A/CXCL10/CMPK2/IL6/HELZ2/PTGS2/ADAR/IFIT1/LY6E/NFKBIA/SPPL2A/IFIT3/IFIT2/IFITM2/OASL/LAP3/SAMD9L/ISG15/IFIH1/NMI/ST8SIA4/HERC6/TNFAIP2/STAT1/GCH1/TRIM25/PDE4B/PLSCR1/SOD2/RSAD2/PARP12/CSF2RB/RIPK2/OAS2/IFI35/RAPGEF6/TNFSF10/ISG20/XAF1/IRF7/PIM1/PELI1/DHX58/TRIM14/TNFAIP3/MTHFD2/CMTR1/ARL4A/SOCS1/FPR1/MX2/CD38/BST2/SECTM1/FGL2/LATS2/ICAM1/MT2A/LYSMD2/PSMA3/HIF1A/BATF2/ZNFX1/PSMA2/UBE2L6/GPR18/SRI/ZBP1/BANK1/CD274/SP110/TRAFD1/PSMB8/TOR1B/RNF213/CASP4/DDX60/JAK2/IRF2/PTPN2/IL15RA/IL18BP/IL2RB/RTP4/PSME1/EIF4E3/USP18/ARID5B/SSPN/CASP7/PNPT1/CD86"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",174,0.685890234899489,3.1952112354839,1e-10,7.14285714285714e-10,3.30827067669173e-10,1317,"tags=48%, list=10%, signal=44%","SERPINE1/TLR2/CCL7/C3AR1/FFAR2/EREG/RGS1/CCL20/TNFAIP6/ADM/NAMPT/CCL2/IFNGR2/LDLR/OSM/CD69/AHR/PTGER2/ATP2B1/KLF6/CLEC5A/NFKB1/EIF2AK2/CDKN1A/CXCL10/CD55/IL6/MXD1/AQP9/PTPRE/IRAK2/LY6E/NFKBIA/IL1B/NLRP3/ACVR2A/NMI/EDN1/OLR1/ABCA1/GCH1/PDE4B/SPHK1/RGS16/KCNJ2/RIPK2/GNAI3/LAMP3/TIMP1/GNA15/PLAUR/TNFSF10/IRF7/IL10/F3/C5AR1/LYN/P2RX4/HBEGF/IL1A/FPR1/PROK2/EMP3/IL1R1/BST2/AXL/CCRL2/SLC7A1/ATP2C1/ICAM1/ITGA5/ADORA2B/LPAR1/TNFSF15/HIF1A/INHBA/SGMS2/SRI/RNF144B/CSF3/CD14/NOD2/ACVR1B"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",91,0.724159173482324,3.0379737454724,1e-10,7.14285714285714e-10,3.30827067669173e-10,2435,"tags=70%, list=18%, signal=58%","IFI27/IFITM3/IFI44/MX1/PARP14/IFI44L/LGALS3BP/EPSTI1/EIF2AK2/CXCL10/CMPK2/HELZ2/SAMD9/OAS1/ADAR/LY6E/IFIT3/PARP9/IFIT2/IFITM2/OASL/LAP3/SAMD9L/ISG15/IFIH1/NCOA7/NMI/HERC6/TRIM25/PLSCR1/RSAD2/PARP12/RIPK2/IFI35/LAMP3/ISG20/IRF7/DHX58/TRIM14/GMPR/CMTR1/HLA-C/BST2/CCRL2/PSMA3/TRIM5/GBP2/BATF2/UBE2L6/ELF1/SP110/TRAFD1/PSMB8/CNP/DDX60/IRF2/SELL/RTP4/PSME1/USP18/PNPT1/CXCL11/TDRD7/LPAR6"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",178,0.50133109489954,2.32613401365757,1e-10,7.14285714285714e-10,3.30827067669173e-10,2221,"tags=37%, list=17%, signal=31%","SERPINE1/CXCL1/CTSL/SERPINB2/SERPING1/SRC/CR1/CD55/IL6/F2/ANXA5/FCER1G/LAP3/PLEK/OLR1/ADAM9/PLSCR1/CA2/GNAI3/TIMP1/PLAUR/S100A12/IRF7/F3/DUSP6/LYN/MAFF/PIM1/TNFAIP3/PPP2CB/LGALS3/ADRA2B/GPD2/C1QC/USP8/XPNPEP1/DOCK4/DPP4/USP15/GNB2/CD36/RNF4/CLU/FYN/PRKCD/DUSP5/ITGAM/CTSC/RASGRP1/CASP4/USP14/USP16/JAK2/C3/F5/IRF2/RHOG/C1QA/SH2B3/LAMP2/GNGT2/ZEB1/GCA/GP1BA/CASP7"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",165,0.493817512380864,2.27374779795994,1e-10,7.14285714285714e-10,3.30827067669173e-10,2353,"tags=37%, list=18%, signal=31%","SERPINE1/DUSP1/PPP1R15A/ADM/ATF3/JUN/STC2/ZFP36/KLF6/CDKN1A/IL6/PFKFB3/PPP1R3C/TPD52/DDIT4/PLIN2/JMJD6/PLAUR/ISG20/SLC2A5/F3/SDC4/GLRX/AK4/PNRC1/MAFF/PIM1/VEGFA/TNFAIP3/DDIT3/NFIL3/WSB1/PLAC8/FOXO3/XPNPEP1/TGM2/NAGK/MT2A/ADORA2B/ANGPTL4/GBE1/SLC6A6/PYGM/BHLHE40/SLC2A3/SDC2/LDHA/IER3/PGK1/SAP30/RORA/TES/SDC3/FOSL2/RBPJ/HK2/TGFB3/MT1E/FOS/IGFBP3/CHST2"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",192,0.475928550882343,2.2252922067506,1e-10,7.14285714285714e-10,3.30827067669173e-10,2318,"tags=39%, list=17%, signal=33%","PPP1R15A/NAMPT/STARD4/LDLR/PNP/INSIG1/RRM2/CDKN1A/RAB1A/ACTR3/UFM1/DDIT4/SQLE/BUB1/IFRD1/XBP1/IDI1/PLK1/GLRX/FDXR/AK4/PHGDH/TBK1/CORO1A/MTHFD2/IDH1/TFRC/ACSL3/DDIT3/HSP90B1/NFIL3/SLC7A5/MCM2/CDC25A/ATP6V1D/FGL2/SLC7A11/PSMC2/SC5D/PSMA3/PPA1/PSMD12/GBE1/G6PD/TCEA1/HMGCR/SLC6A6/DHCR24/BHLHE40/PSMD14/SLC2A3/HSPA9/CTSC/LDHA/CCNG1/TXNRD1/SLA/PGK1/EDEM1/TES/TUBG1/TOMM40/CTH/DDX39A/SERP1/AURKA/CYP51A1/EIF2S2/HMGCS1/PSAT1/HK2/ADD3/NFKBIB/HPRT1/NUP205"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",184,0.472339884740267,2.20807927294128,1.38091804432715e-10,8.6307377770447e-10,3.99739433884176e-10,3012,"tags=48%, list=22%, signal=38%","MKI67/STIL/CDC6/CCNB2/KIF4A/CDK1/NUSAP1/SQLE/TOP2A/MARCKS/BUB1/MYBL2/CDC45/CCNA2/SYNCRIP/POLQ/FBXO5/KPNA2/TMPO/HUS1/PLK1/AURKB/ESPL1/E2F2/E2F1/CBX1/NUMA1/EWSR1/TPX2/SLC7A5/TTK/CENPE/MCM2/MCM6/CDC25A/STMN1/SLC7A1/TOP1/MT2A/SLC38A1/ORC6/NUP98/HIF1A/CDC20/UBE2C/SRSF2/NOTCH2/BARD1/TLE3/CENPA/PTTG1/RAD23B/BIRC5/MAPK14/BRCA2/CDKN3/SAP30/PRC1/KIF2C/HMMR/MTF2/DDX39A/CHEK1/AURKA/MYC/SMC2/SFPQ/FANCC/MAD2L1/BCL3/EXO1/CDC27/PURA/SS18/NOLC1/PAFAH1B1/E2F4/ABL1/LBR/KIF23/SMC4/PLK4/TRA2B/EGF/CCND1/CENPF/UPF1/RAD21/FOXN3"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",193,0.465830196606541,2.18048733627526,1.84647185761246e-10,1.02581769867359e-09,4.75115565701452e-10,2587,"tags=45%, list=19%, signal=37%","RRM2/CDKN1A/MKI67/TRIP13/CCNB2/KIF4A/CDK1/CDCA8/TOP2A/HELLS/SPAG5/MYBL2/SYNCRIP/KPNA2/TMPO/HUS1/MLH1/PLK1/AURKB/PCNA/MTHFD2/DSCC1/ESPL1/TFRC/BUB1B/NBN/RAD51AP1/CENPE/DLGAP5/MCM2/MCM6/CDC25A/POLD3/STMN1/E2F8/ORC6/UBE2T/CDC20/MXD3/SRSF2/SMC3/BARD1/PTTG1/BIRC5/RAD50/USP1/MELK/DONSON/CENPM/KIF18B/GINS4/CDCA3/RFC1/BRCA2/CDKN3/CCNE1/IPO7/ATAD2/KIF2C/RANBP1/TUBG1/WDR90/GINS1/HMMR/DDX39A/CHEK1/AURKA/DNMT1/MYC/SPC25/MCM7/CTPS1/ANP32E/MAD2L1/HMGB2/NME1/TIPIN/DEPDC1/NUP153/NUP107/NUP205/TK1/NOLC1/EIF2S1/ASF1A/MCM4/LBR"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",75,0.585159629404211,2.37609638154541,5.94936839720319e-09,2.9746841986016e-08,1.37774847093127e-08,1317,"tags=39%, list=10%, signal=35%","TLR2/CCL7/CXCL3/CXCL1/IFNGR2/JUN/SOCS3/FAS/MYD88/CCR1/CXCL10/IL6/IL1B/STAT1/TYK2/CSF2RB/TNFRSF12A/IFNGR1/PIM1/IL2RA/SOCS1/CD38/IL1R1/IL1R2/PTPN11/CD36/MAP3K8/CD14/ACVR1B"
