"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",88,-0.825008662476332,-3.4665072146484,1e-10,5.93333333333333e-09,5.03759398496241e-09,662,"tags=70%, list=5%, signal=67%","RPL24/RPL15/RPL26/RPL14/RPL12/RPS7/RPLP0/RPS11/RPL18A/RPL11/RPL35A/RPL39/RPS17/EEF2/RPL31/RPS14/EEF1A1/RPS20/RPL22/RPL23/RPLP1/RPS24/RPS5/RPL36A/RPS12/RPS21/RPL29/RPL9/RPL18/RPL37A/EEF1D/RPL4/RPS9/EEF1B2/RPL23A/RPS27A/RPL32/RPS10/RPS29/RPL7A/RPS8/UBA52/RPS16/RPL35/RPL5/RPL10A/RPL36/RPL7/RPL34/RPS6/RPS3A/RPS3/RPS4X/RPL27A/RPL8/RPS4Y1/RPL13A/RPLP2/RPL21/RPL13/RPL27/RPL3"
"REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM",102,-0.768031796723962,-3.30834078270513,1e-10,5.93333333333333e-09,5.03759398496241e-09,662,"tags=66%, list=5%, signal=63%","RPL38/RPL37/RPS15A/AHCY/RPL30/RPS19/RPS26/RPS2/RPL24/RPL15/RPL26/RPL14/SEPHS2/RPL12/RPS7/RPLP0/RPS11/RPL18A/RPL11/RPL35A/RPL39/RPS17/RPL31/RPS14/RPS20/RPL22/RPL23/RPLP1/RPS24/RPS5/RPL36A/RPS12/RPS21/RPL29/RPL9/RPL18/RPL37A/RPL4/RPS9/RPL23A/RPS27A/RPL32/RPS10/RPS29/RPL7A/RPS8/UBA52/RPS16/RPL35/RPL5/RPL10A/RPL36/RPL7/RPL34/RPS6/RPS3A/RPS3/RPS4X/RPL27A/RPL8/RPS4Y1/RPL13A/RPLP2/RPL21/RPL13/RPL27/RPL3"
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",97,-0.767477901425359,-3.29201161183294,1e-10,5.93333333333333e-09,5.03759398496241e-09,684,"tags=64%, list=5%, signal=61%","RPS19/RPS26/RPS2/ASNS/RPL24/RPL15/RPL26/RPL14/RPL12/RPS7/RPLP0/RPS11/RPL18A/RPL11/RPL35A/RPL39/RPS17/RPL31/RPS14/RPS20/RPL22/RPL23/RPLP1/RPS24/RPS5/RPL36A/RPS12/RPS21/RPL29/RPL9/RPL18/RPL37A/RPL4/RPS9/RPL23A/RPS27A/RPL32/RPS10/RPS29/RPL7A/RPS8/UBA52/RPS16/RPL35/RPL5/RPL10A/RPL36/RPL7/RPL34/RPS6/RPS3A/RPS3/RPS4X/RPL27A/RPL8/RPS4Y1/RPL13A/RPLP2/RPL21/RPL13/RPL27/RPL3"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",108,-0.745348809794931,-3.21966268078594,1e-10,5.93333333333333e-09,5.03759398496241e-09,806,"tags=56%, list=6%, signal=54%","RPS2/SSR2/RPL24/RPL15/RPL26/RPL14/RPL12/DDOST/RPS7/RPLP0/RPS11/RPL18A/RPL11/RPL35A/RPL39/RPS17/RPL31/RPS14/RPS20/RPL22/RPL23/RPLP1/RPS24/RPS5/RPL36A/RPS12/RPS21/RPL29/RPL9/RPL18/RPL37A/RPL4/RPS9/RPL23A/RPS27A/RPL32/RPS10/RPS29/RPL7A/RPS8/UBA52/RPS16/RPL35/RPL5/RPL10A/RPL36/RPL7/RPL34/RPS6/RPS3A/RPS3/RPS4X/RPL27A/RPL8/RPS4Y1/RPL13A/RPLP2/RPL21/RPL13/RPL27/RPL3"
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",112,-0.72977157197969,-3.1867686098252,1e-10,5.93333333333333e-09,5.03759398496241e-09,1482,"tags=62%, list=11%, signal=56%","RPL38/RPL37/RPS15A/UPF3A/MAGOH/PABPC1/RPL30/RPS19/RPS26/GSPT2/RPS2/RPL24/RPL15/PPP2R1A/RPL26/RPL14/RPL12/RPS7/RPLP0/RPS11/RPL18A/RPL11/RPL35A/RPL39/RPS17/RPL31/RPS14/RPS20/RPL22/RPL23/RPLP1/RPS24/RPS5/RPL36A/RPS12/RPS21/RPL29/RPL9/RPL18/RPL37A/RPL4/RPS9/RPL23A/RPS27A/RPL32/RPS10/RPS29/RPL7A/RPS8/UBA52/RPS16/RPL35/RPL5/RPL10A/RPL36/RPL7/RPL34/RPS6/RPS3A/RPS3/RPS4X/RPL27A/RPL8/RPS4Y1/RPL13A/RPLP2/RPL21/RPL13/RPL27/RPL3"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",116,-0.719776995787843,-3.17087885271106,1e-10,5.93333333333333e-09,5.03759398496241e-09,1482,"tags=63%, list=11%, signal=56%","RPL38/RPL37/EIF3F/RPS15A/EIF3B/PABPC1/RPL30/RPS19/EIF4B/RPS26/RPS2/RPL24/RPL15/RPL26/RPL14/RPL12/RPS7/RPLP0/RPS11/RPL18A/RPL11/RPL35A/RPL39/RPS17/EIF3I/RPL31/RPS14/RPS20/RPL22/RPL23/RPLP1/RPS24/RPS5/RPL36A/RPS12/RPS21/RPL29/RPL9/RPL18/RPL37A/RPL4/RPS9/RPL23A/RPS27A/RPL32/RPS10/RPS29/RPL7A/RPS8/UBA52/RPS16/EIF3L/RPL35/EIF3K/RPL5/RPL10A/RPL36/RPL7/RPL34/RPS6/RPS3A/RPS3/EIF3D/RPS4X/RPL27A/RPL8/RPS4Y1/RPL13A/RPLP2/RPL21/RPL13/RPL27/RPL3"
"REACTOME_CELLULAR_RESPONSE_TO_STARVATION","REACTOME_CELLULAR_RESPONSE_TO_STARVATION",143,-0.670871134282732,-3.03038692741515,1e-10,5.93333333333333e-09,5.03759398496241e-09,1817,"tags=57%, list=14%, signal=49%","RPL41/ATP6V1B2/RPL19/RPS23/SESN2/SH3BP4/DEPDC5/RPL38/RPL37/RPS15A/FLCN/RPL30/ATP6V0D1/RPS19/RPS26/SESN1/RRAGC/RPS2/ATP6V1H/ASNS/RPL24/RPL15/RPL26/RPL14/RPL12/LAMTOR4/LAMTOR2/RPS7/RPLP0/RPS11/RPL18A/RPL11/RPL35A/RPL39/RPS17/ATP6V0E2/RPL31/RPS14/RPS20/RPL22/RPL23/RPLP1/RPS24/RPS5/RPL36A/RPS12/RPS21/RPL29/RPL9/RPL18/RPL37A/RPL4/RPS9/RPL23A/RPS27A/RPL32/RPS10/RPS29/RPL7A/RPS8/UBA52/RPS16/RPL35/RPL5/RPL10A/RPL36/RPL7/RPL34/RPS6/RPS3A/RPS3/RPS4X/RPL27A/RPL8/RPS4Y1/RPL13A/RPLP2/RPL21/RPL13/RPL27/RPL3"
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",143,-0.669680147204838,-3.02500712869207,1e-10,5.93333333333333e-09,5.03759398496241e-09,1818,"tags=56%, list=14%, signal=49%","ROBO3/RPL41/PSMD2/RPL19/RPS23/RPL38/RPL37/RPS15A/UPF3A/MAGOH/PABPC1/PSMD7/PSMB1/RPL30/PSMD13/RPS19/RPS26/PSMD8/GSPT2/RPS2/RPL24/RPL15/RPL26/RPL14/RPL12/USP33/RPS7/RPLP0/RPS11/RPL18A/RPL11/RPL35A/RPL39/RPS17/RPL31/RPS14/RPS20/RPL22/RPL23/RPLP1/RPS24/RPS5/RPL36A/RPS12/RPS21/RPL29/RPL9/RPL18/RPL37A/RPL4/RPS9/PSMC5/RPL23A/RPS27A/RPL32/RPS10/RPS29/RPL7A/RPS8/UBA52/RPS16/RPL35/RPL5/RPL10A/RPL36/RPL7/RPL34/RPS6/RPS3A/RPS3/RPS4X/RPL27A/RPL8/RPS4Y1/RPL13A/RPLP2/RPL21/RPL13/RPL27/RPL3"
"REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING",184,-0.645103186680174,-3.0116304352639,1e-10,5.93333333333333e-09,5.03759398496241e-09,1030,"tags=41%, list=8%, signal=38%","RPS19/EMG1/RBM28/RPS26/BOP1/WDR18/RPS2/EXOSC2/RRP1/RPL24/RPL15/PDCD11/RPL26/RPL14/RPL12/EXOSC6/RPS7/CSNK1E/RPLP0/RPS11/UTP18/RPL18A/RPL11/RPL35A/RPL39/RPS17/SENP3/IMP3/RPL31/RPS14/PES1/RPS20/RPL22/RPL23/RPLP1/RPS24/RPS5/RPL36A/RPS12/RPS21/RPL29/RPL9/RPL18/RPL37A/RPL4/RPS9/RPL23A/RPS27A/RPL32/RPS10/RPS29/RPL7A/RPS8/UBA52/RPS16/RPL35/RPL5/RPL10A/RPL36/RPL7/RPL34/RPS6/RPS3A/RPS3/RPS4X/RPL27A/FBL/RPL8/RPS4Y1/RPL13A/RPLP2/RPL21/RPL13/RPL27/RPL3"
"REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION",149,-0.638615490099262,-2.90778859351309,1e-10,5.93333333333333e-09,5.03759398496241e-09,1817,"tags=53%, list=14%, signal=46%","RPL41/GRSF1/RPL19/POLR2E/NUP133/CPSF4/RPS23/KPNA1/RPL38/RPL37/RPS15A/TGFB1/RPL30/RPS19/RPS26/POLR2D/RPS2/RPL24/RPL15/RAE1/RPL26/RPL14/RPL12/RPS7/RPLP0/RPS11/POM121/RPL18A/POLR2L/RPL11/RPL35A/RPL39/RPS17/RPL31/RPS14/RPS20/RPL22/RPL23/RPLP1/RPS24/RPS5/RPL36A/RPS12/RPS21/RPL29/RPL9/RPL18/RPL37A/RPL4/RPS9/RPL23A/RPS27A/RPL32/RPS10/RPS29/RPL7A/POLR2A/RPS8/UBA52/RPS16/RPL35/RPL5/RPL10A/RPL36/RPL7/RPL34/RPS6/RPS3A/RPS3/RPS4X/RPL27A/RPL8/RPS4Y1/RPL13A/RPLP2/RPL21/RPL13/RPL27/RPL3"
