"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",192,0.667834104739555,3.18133287269882,1e-10,5.55555555555556e-10,2.10526315789474e-10,2060,"tags=53%, list=15%, signal=46%","SERPINE1/TLR2/CXCL1/CXCL2/MXD1/NAMPT/CCL20/FOSB/CXCL3/IFNGR2/PFKFB3/TNFAIP2/BCL6/PPP1R15A/LDLR/DUSP1/G0S2/PTGS2/JUN/MCL1/SDC4/JAG1/NFKBIA/ATF3/PLAUR/IL1B/ETS2/TRIB1/BCL2A1/TNFAIP6/SERPINB2/IFIT2/SOD2/CD83/RELA/CCL4/ZC3H12A/EGR3/CCND1/SGK1/TUBB2A/B4GALT1/DRAM1/SLC16A6/FOSL1/PHLDA1/SLC2A3/PDE4B/EDN1/ICAM1/IL6/VEGFA/KLF6/CD69/PLEK/NFIL3/HBEGF/CDKN1A/PTX3/NFKB1/INHBA/SAT1/NINJ1/PHLDA2/B4GALT5/AREG/BCL3/ACKR3/FUT4/OLR1/PER1/CFLAR/BMP2/ABCA1/MAP3K8/NR4A1/IFIH1/MARCKS/EGR1/TNFAIP3/ATP2B1/NR4A3/SOCS3/SPHK1/EFNA1/GCH1/ZFP36/TSC22D1/IL1A/TNIP2/IL18/LITAF/PTPRE/CXCL10/LAMB3/F3/BIRC2/TNIP1/CXCL6/RIPK2/PLAU/SPSB1"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",174,0.616457670061656,2.91543639040364,1e-10,5.55555555555556e-10,2.10526315789474e-10,2015,"tags=49%, list=15%, signal=42%","SERPINE1/ADM/TLR2/MXD1/NAMPT/CCL20/P2RX4/IFNGR2/FPR1/GPC3/SLC7A2/FFAR2/EREG/AQP9/LDLR/OSM/NFKBIA/NLRP3/PLAUR/IL1B/TNFAIP6/PROK2/RELA/BEST1/CD55/ACVR2A/C5AR1/PDE4B/EDN1/PVR/ICAM1/IL6/FZD5/KLF6/CD69/PTGER2/GNA15/HBEGF/LPAR1/KCNJ2/CSF3R/CDKN1A/PSEN1/NFKB1/INHBA/CD14/IL15/IL10/NOD2/OLR1/AHR/MMP14/IL1R1/ABCA1/ATP2C1/ADORA2B/LAMP3/MET/GNAI3/RHOG/ATP2B1/SPHK1/PTAFR/IRAK2/TNFSF10/RGS16/CLEC5A/IRF7/RNF144B/ATP2A2/GCH1/IL1A/IL18/LYN/PTPRE/CXCL10/STAB1/HIF1A/F3/SGMS2/SCN1B/NMI/CXCL6/RIPK2/LY6E"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",192,0.537947246785514,2.56259638109377,1e-10,5.55555555555556e-10,2.10526315789474e-10,3049,"tags=53%, list=23%, signal=41%","NAMPT/DHCR24/PPP1R15A/MCM2/AK4/LDLR/EIF2S2/RRM2/IDH1/SCD/DDIT4/XBP1/HMGCS1/TFRC/DHCR7/PHGDH/LDHA/GBE1/PSAT1/CDC25A/BUB1/SQLE/PLK1/ATP6V1D/SLC6A6/ACSL3/SLC2A3/PNP/SHMT2/TXNRD1/ABCF2/HK2/HMGCR/TUBG1/NFIL3/ACTR3/ACLY/CDKN1A/SLC1A5/IFRD1/CYP51A1/ME1/TMEM97/BCAT1/TRIB3/GAPDH/ENO1/SLC7A5/HSPA5/PSMB5/RPA1/HSPD1/STARD4/AURKA/MCM4/RAB1A/FDXR/RIT1/CTH/GOT1/SLC7A11/UBE2D3/ATP2A2/TBK1/PGK1/EBP/SLC2A1/CFP/INSIG1/FADS1/SC5D/HSP90B1/UFM1/FADS2/SLA/RRP9/G6PD/PSMC2/GLA/PPA1/RPN1/SORD/FKBP2/CANX/HSPA9/PLOD2/ETF1/PGM1/MLLT11/ELOVL5/HMBS/PSMA3/MTHFD2/PSMC4/TPI1/TCEA1/DDIT3/SKAP2/PSMD12/CCNG1/PSPH"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",110,0.571024482313563,2.51590287316688,1e-10,5.55555555555556e-10,2.10526315789474e-10,2326,"tags=40%, list=17%, signal=33%","SERPINE1/FGA/F2/FGG/APOC3/ADAM9/FN1/SERPINB2/MMP9/HTRA1/THBD/RAC1/PEF1/THBS1/TF/PLEK/CLU/SERPING1/MMP10/ARF4/OLR1/PROS1/ANG/MMP14/GSN/C1S/DUSP6/APOC1/MST1/HNF4A/C3/APOA1/LRP1/F12/F3/GNB2/C1QA/MBL2/PLAU/DPP4/LAMP2/CAPN5/CAPN2/BMP1"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",165,0.537897428368099,2.51538633756031,1e-10,5.55555555555556e-10,2.10526315789474e-10,2667,"tags=46%, list=20%, signal=37%","SERPINE1/ADM/STC2/PLIN2/PFKFB3/PPP1R3C/GPC3/PPP1R15A/AK4/DUSP1/JUN/SDC4/DDIT4/ATF3/PLAUR/HK1/LDHA/GBE1/MT1E/ANGPTL4/SLC6A6/SDC2/TGM2/LOX/PGM2/SLC2A3/IL6/DTNA/HK2/VEGFA/KLF6/NDRG1/NFIL3/JMJD6/TMEM45A/CDKN1A/NAGK/TPD52/GAPDH/PIM1/FOXO3/ACKR3/WSB1/ENO1/HSPA5/ERRFI1/ADORA2B/TNFAIP3/GAA/P4HA2/SAP30/HEXA/ALDOC/EFNA1/PGK1/ZFP36/SLC2A1/XPNPEP1/SDC3/AMPD3/F3/SCARB1/PAM/S100A4/HDLBP/PYGM/ANKZF1/SLC2A5/EGFR/FOS/CITED2/BNIP3L/ISG20/PGM1/IRS2/IGFBP1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",145,0.521920126972611,2.399734092168,1e-10,5.55555555555556e-10,2.10526315789474e-10,2614,"tags=46%, list=20%, signal=37%","SERPINE1/CXCL1/SDC1/JUN/SDC4/FN1/PLAUR/ITGB5/BASP1/SNTB1/SLC6A8/HTRA1/ANPEP/ITGAV/TGM2/LOX/THBS1/PLOD1/PCOLCE2/PVR/IL6/VEGFA/FSTL3/SGCB/CALD1/LAMC1/PTX3/FERMT2/INHBA/SAT1/FAS/IL15/VCAN/PFN2/AREG/CDH2/FSTL1/COL5A2/LOXL2/COL8A2/QSOX1/IGFBP2/MMP14/TPM4/TNFAIP3/PDGFRB/WIPF1/COPA/LGALS1/FBLN1/LRP1/MCM7/CXCL6/LUM/GADD45B/MYLK/FUCA1/BMP1/CALU/SPP1/DST/DPYSL3/TNFRSF12A/PLOD2/MATN3/CRLF1"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",184,0.480646871860841,2.28795025009188,1e-10,5.55555555555556e-10,2.10526315789474e-10,2069,"tags=36%, list=15%, signal=31%","MCM2/TLE3/TPX2/KPNA2/STIL/NUSAP1/CDKN3/MAPK14/CDK1/MKI67/E2F1/CCNB2/E2F2/CDC25A/CDC6/BUB1/BIRC5/SQLE/PLK1/TTK/POLQ/CCND1/PTTG1/CDC20/AURKB/KIF4A/STMN1/TOP2A/HUS1/CCNA2/PRC1/LBR/ORC6/NUP98/RAD23B/BCL3/EXO1/MYBL2/ESPL1/E2F3/MCM3/DTYMK/SLC7A5/SMC2/BARD1/AURKA/SRSF1/CDC45/KIF2C/MARCKS/KIF22/CHMP1A/CENPE/SAP30/KPNB1/TMPO/FBXO5/EWSR1/UPF1/HIF1A/SS18/TOP1/UBE2C/ODC1/NUMA1/CDC7/HMMR"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",173,0.48224167762397,2.27964493300366,1e-10,5.55555555555556e-10,2.10526315789474e-10,2666,"tags=42%, list=20%, signal=34%","STC2/SDC1/GPC3/AK4/IDH1/TPST1/DDIT4/CDK1/LDHA/DSC2/ANGPTL4/PMM2/COPB2/PGAM1/B4GALT1/SDC2/SLC16A3/PLOD1/PGM2/MERTK/HK2/VEGFA/STMN1/ME1/VCAN/NSDHL/PPP2CB/AGRN/DLD/ENO1/DEPDC1/PYGL/HSPA5/QSOX1/SLC25A10/ANG/CHPF/B4GALT2/AURKA/ADORA2B/MET/PC/P4HA2/SAP30/CTH/GOT1/PGK1/NOL3/SDC3/PAM/SPAG4/TALDO1/G6PD/HDLBP/HMMR/XYLT2/PHKA2/IL13RA1/CAPN5/CENPA/ANKZF1/GALE/KIF20A/EGFR/FKBP4/TXN/GOT2/CITED2/PLOD2/SOX9/ISG20/CLN6/IRS2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",186,0.478232602460325,2.27550777585752,1e-10,5.55555555555556e-10,2.10526315789474e-10,2121,"tags=38%, list=16%, signal=32%","NAMPT/FPR1/TNFAIP2/IFI27/FCGR1A/PTGS2/NFKBIA/TNFAIP6/IFIT2/SOD2/TRIM25/IFITM2/MYD88/PNP/PDE4B/ICAM1/IFITM3/IL6/CD69/IFI44L/SERPING1/CDKN1A/PELI1/NFKB1/CASP4/HELZ2/FAS/IL15/PIM1/SAMD9L/LATS2/MX1/PARP12/SPPL2A/IFIT3/BATF2/OASL/IFIT1/ISG15/SOCS1/TDRD7/CSF2RB/PARP14/ST8SIA4/IFIH1/PSMA2/EPSTI1/TNFAIP3/ARL4A/C1S/HERC6/SOCS3/ADAR/CMPK2/TNFSF10/IRF7/GCH1/OAS2/UPP1/IFI44/CXCL10/CMTR1/HIF1A/OGFR/NLRC5/NMI/RIPK2/LY6E/OAS3/BST2"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",178,0.464399510385738,2.19609663562296,3.52200484745379e-10,1.76100242372689e-09,6.67327234254401e-10,1869,"tags=33%, list=14%, signal=28%","SERPINE1/CXCL1/F2/TIMP2/ADAM9/FN1/PLAUR/S100A12/SERPINB2/DOCK4/CTSL/CD55/MSRB1/STX4/IL6/GPD2/PLEK/ADRA2B/CLU/SERPING1/PSEN1/F5/CASP4/ME1/ITGAM/PPP2CB/CR1/GCA/PIM1/ANXA5/OLR1/CA2/HSPA5/ANG/USP15/MMP14/GNAI3/RHOG/PCSK9/PRKCD/TNFAIP3/C1S/SRC/DUSP6/APOC1/LTF/IRF7/HNF4A/S100A9/C3/C1QC/LYN/XPNPEP1/LRP1/CDA/F3/GNB2/C1QA"
