"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",88,-0.764982100004304,-3.40425624877084,1e-10,7.7875e-09,6.35526315789474e-09,2270,"tags=77%, list=17%, signal=65%","RPS10/RPL31/RPL11/RPS20/FAU/RPS14/RPL19/EEF1B2/RPS5/EEF2/RPS25/RPL6/RPS7/RPS26/RPS24/RPL39L/RPS2/RPS12/RPL12/RPL22/RPL4/RPL36AL/RPL18A/RPL14/EEF1D/RPLP0/RPL28/RPL36/RPL26/RPS17/RPS21/RPL7A/RPS8/RPL38/RPLP1/RPL10A/RPL5/RPL36A/RPL24/EEF1A1/RPL23/RPL35A/RPS3/RPL13A/RPS4X/RPL7/RPL8/RPL27A/RPL29/RPS6/RPL39/UBA52/RPL35/RPL18/RPS3A/RPLP2/RPL9/RPL32/RPL3/RPL30/RPS4Y1/RPL23A/RPS16/RPL13/RPL34/RPS29/RPL27/RPL21"
"REACTOME_SELENOAMINO_ACID_METABOLISM","REACTOME_SELENOAMINO_ACID_METABOLISM",102,-0.690071590592826,-3.15244545145307,1e-10,7.7875e-09,6.35526315789474e-09,2182,"tags=65%, list=16%, signal=55%","RPS10/RPL31/RPL11/RPS20/FAU/RPS14/RPL19/RPS5/RPS25/EEFSEC/RPL6/RPS7/RPS26/RPS24/RPL39L/RPS2/RPS12/RPL12/RPL22/RPL4/RPL36AL/RPL18A/RPL14/RPLP0/RPL28/RPL36/RPL26/RPS17/SEPSECS/RPS21/RPL7A/RPS8/RPL38/RPLP1/RPL10A/RPL5/RPL36A/RPL24/RPL23/RPL35A/RPS3/RPL13A/RPS4X/RPL7/RPL8/RPL27A/RPL29/RPS6/RPL39/UBA52/RPL35/RPL18/RPS3A/RPLP2/RPL9/RPL32/RPL3/RPL30/RPS4Y1/RPL23A/RPS16/RPL13/RPL34/RPS29/RPL27/RPL21"
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",97,-0.680512667470764,-3.06981955920395,1e-10,7.7875e-09,6.35526315789474e-09,2270,"tags=67%, list=17%, signal=56%","RPS10/RPL31/RPL11/RPS20/FAU/RPS14/IMPACT/RPL19/RPS5/RPS25/RPL6/RPS7/RPS26/RPS24/RPL39L/RPS2/RPS12/RPL12/RPL22/RPL4/RPL36AL/RPL18A/RPL14/RPLP0/RPL28/RPL36/RPL26/RPS17/RPS21/RPL7A/RPS8/RPL38/RPLP1/RPL10A/RPL5/RPL36A/RPL24/RPL23/RPL35A/RPS3/RPL13A/RPS4X/RPL7/RPL8/RPL27A/RPL29/RPS6/RPL39/UBA52/RPL35/RPL18/RPS3A/RPLP2/RPL9/RPL32/RPL3/RPL30/RPS4Y1/RPL23A/RPS16/RPL13/RPL34/RPS29/RPL27/RPL21"
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",112,-0.658902855369547,-3.04263834925166,1e-10,7.7875e-09,6.35526315789474e-09,2182,"tags=61%, list=16%, signal=51%","RPL31/RPL11/RPS20/FAU/RPS14/RPL19/RPS5/RPS25/RPL6/RPS7/RPS26/UPF3A/RPS24/RPL39L/RPS2/RPS12/RPL12/RPL22/RPL4/RPL36AL/RPL18A/RPL14/RPLP0/RPL28/RPL36/RPL26/RPS17/RPS21/RPL7A/RPS8/PPP2R1A/RPL38/RPLP1/RPL10A/RPL5/DCP1A/RPL36A/RPL24/RPL23/RPL35A/RPS3/RPL13A/RPS4X/RPL7/PABPC1/RPL8/RPL27A/RPL29/RPS6/RPL39/GSPT2/UBA52/RPL35/RPL18/RPS3A/RPLP2/RPL9/RPL32/RPL3/RPL30/RPS4Y1/RPL23A/RPS16/RPL13/RPL34/RPS29/RPL27/RPL21"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",108,-0.662221914713583,-3.03763773111392,1e-10,7.7875e-09,6.35526315789474e-09,2182,"tags=61%, list=16%, signal=52%","RPL31/RPL11/RPS20/FAU/RPS14/RPL19/SSR2/RPS5/RPS25/RPL6/RPS7/RPS26/RPS24/RPL39L/RPS2/RPN2/RPS12/RPL12/RPL22/RPL4/RPL36AL/RPL18A/RPL14/RPLP0/RPL28/RPL36/RPL26/RPS17/RPS21/RPL7A/RPS8/DDOST/RPL38/RPLP1/RPL10A/RPL5/RPL36A/RPL24/RPL23/RPL35A/RPS3/RPL13A/RPS4X/RPL7/RPL8/RPL27A/RPL29/RPS6/RPL39/UBA52/RPL35/RPL18/RPS3A/RPLP2/RPL9/RPL32/RPL3/RPL30/RPS4Y1/RPL23A/RPS16/RPL13/RPL34/RPS29/RPL27/RPL21"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",116,-0.641397485488127,-2.97407252761155,1e-10,7.7875e-09,6.35526315789474e-09,2182,"tags=62%, list=16%, signal=52%","RPL31/RPL11/RPS20/FAU/RPS14/RPL19/EIF3B/RPS5/RPS25/RPL6/RPS7/RPS26/RPS24/RPL39L/RPS2/RPS12/RPL12/RPL22/RPL4/RPL36AL/RPL18A/RPL14/RPLP0/RPL28/RPL36/RPL26/RPS17/EIF3F/EIF3K/RPS21/RPL7A/EIF2B1/RPS8/EIF3D/EIF3L/RPL38/RPLP1/RPL10A/EIF3M/RPL5/EIF3I/RPL36A/RPL24/RPL23/RPL35A/RPS3/RPL13A/RPS4X/RPL7/PABPC1/RPL8/RPL27A/RPL29/RPS6/RPL39/UBA52/RPL35/RPL18/RPS3A/RPLP2/RPL9/RPL32/RPL3/RPL30/RPS4Y1/RPL23A/RPS16/RPL13/RPL34/RPS29/RPL27/RPL21"
"REACTOME_RRNA_PROCESSING","REACTOME_RRNA_PROCESSING",184,-0.589574680392774,-2.90569571577295,1e-10,7.7875e-09,6.35526315789474e-09,2182,"tags=51%, list=16%, signal=43%","PWP2/RPS23/TEX10/NCL/GAR1/RPS27A/RIOK3/RPS10/RPL31/RPL11/EXOSC2/RPS20/TRMT10C/FAU/RPS14/RPL19/WDR75/RPS5/DIS3/RPS25/RPL6/BOP1/UTP14A/RPS7/RPS26/RPS24/RPP14/RPL39L/RPS2/PNO1/THUMPD1/RPS12/RPL12/RPL22/WDR18/RPL4/RPL36AL/RPL18A/RPL14/RPLP0/RPL28/RPL36/RPL26/RPS17/IMP3/RRP1/C1D/RPS21/NOL9/RPL7A/RPS8/PES1/RPP38/RPL38/RPLP1/RPL10A/RPL5/UTP3/RPL36A/SENP3/RPL24/RPL23/RPL35A/RPS3/RPL13A/RPS4X/RPL7/EXOSC6/RPL8/RPL27A/CSNK1E/RPL29/RPS6/RPL39/UBA52/RPL35/RPL18/RPS3A/RPLP2/RPL9/RPL32/UTP18/RPL3/RPL30/RPS4Y1/RPL23A/RPS16/FBL/RPL13/RPL34/RPS29/RPL27/RPL21"
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",143,-0.600314078132436,-2.89570774411449,1e-10,7.7875e-09,6.35526315789474e-09,2270,"tags=55%, list=17%, signal=46%","RPS10/UBC/RPL31/RPL11/PSMC5/RPS20/FAU/RPS14/RPL19/PSMB1/RPS5/ROBO3/RPS25/PSMA4/PSMD2/RPL6/RPS7/RPS26/UPF3A/RPS24/RPL39L/RPS2/PSMB2/RPS12/RPL12/RPL22/RPL4/RPL36AL/RPL18A/RPL14/RPLP0/RPL28/RPL36/RPL26/RPS17/RPS21/RPL7A/PSMC6/PSMD7/RPS8/PSMA5/RPL38/RPLP1/RPL10A/RPL5/RPL36A/RBX1/RPL24/RPL23/RPL35A/USP33/RPS3/RPL13A/RPS4X/RPL7/PABPC1/RPL8/RPL27A/RPL29/RPS6/RPL39/GSPT2/UBA52/RPL35/RPL18/RPS3A/RPLP2/RPL9/RPL32/RPL3/RPL30/RPS4Y1/RPL23A/RPS16/RPL13/RPL34/RPS29/RPL27/RPL21"
"REACTOME_CELLULAR_RESPONSE_TO_STARVATION","REACTOME_CELLULAR_RESPONSE_TO_STARVATION",143,-0.569677524729092,-2.747927593399,1e-10,7.7875e-09,6.35526315789474e-09,2182,"tags=49%, list=16%, signal=41%","RPL31/RPL11/RPS20/FAU/RPS14/IMPACT/RPL19/RPS5/RPS25/LAMTOR2/RPL6/RPS7/RPS26/RPS24/FLCN/RPL39L/RPS2/RPS12/RPL12/RPL22/RPL4/RPL36AL/RPL18A/RPL14/RPLP0/RPL28/RPL36/RRAGC/RPL26/RPS17/RPS21/RPL7A/RPS8/RPL38/RPLP1/RPL10A/SESN1/RPL5/ATP6V0E2/RPL36A/RPL24/RPL23/RPL35A/ATP6V1H/RPS3/RPL13A/RPS4X/RPL7/RPL8/RPL27A/RPL29/RPS6/RPL39/UBA52/RPL35/RPL18/RPS3A/RPLP2/RPL9/RPL32/RPL3/RPL30/RPS4Y1/RPL23A/RPS16/RPL13/RPL34/RPS29/RPL27/RPL21"
"REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION",149,-0.559411995962269,-2.67926991702959,1e-10,7.7875e-09,6.35526315789474e-09,2182,"tags=47%, list=16%, signal=40%","RPL31/RPL11/RPS20/FAU/RPS14/RPL19/POLR2D/GRSF1/RPS5/RPS25/RPL6/RPS7/RPS26/POM121/RPS24/RPL39L/RPS2/RPS12/POLR2J/RPL12/RPL22/RPL4/RPL36AL/RPL18A/RPL14/RPLP0/RPL28/RPL36/RPL26/RPS17/RPS21/CPSF4/RPL7A/RPS8/RPL38/RPLP1/RPL10A/NUP210/RPL5/RPL36A/RPL24/RPL23/RPL35A/RPS3/RPL13A/RPS4X/RPL7/RPL8/RPL27A/RPL29/RPS6/RPL39/UBA52/RPL35/TGFB1/RPL18/RPS3A/RPLP2/RPL9/RPL32/RPL3/RPL30/RPS4Y1/RPL23A/RPS16/RPL13/RPL34/RPS29/RPL27/RPL21"
