"","H1","H2","H3","H4","CM1","CM2","CM3","CM4","CS1","CS2","CS3","CS4","CI1","CI2","CI3","CI4"
"H1",1,0.952433316953894,0.828160200895254,0.888194794993666,0.838788601166751,0.84622090283322,0.915882904644224,0.874910897184412,0.882733940581695,0.876445095255465,0.870019596357701,0.783303193682273,0.872336549586737,0.843450908624872,0.83100007012585,0.90062521353709
"H2",0.952433316953894,1,0.829553585166515,0.891772165480678,0.84119553487191,0.856747108271981,0.920344548468153,0.883300357890628,0.886140233039961,0.879708751281399,0.879408900469619,0.787895903715275,0.871704687352818,0.847512750764374,0.833620913686945,0.903511372470119
"H3",0.828160200895254,0.829553585166515,1,0.884590401395175,0.855838002222102,0.836820337457604,0.865501847314879,0.863806125713547,0.865108955602954,0.875326157449741,0.869249962389872,0.803422320385351,0.755983543841206,0.807275591182149,0.78232277768029,0.822949937125641
"H4",0.888194794993666,0.891772165480678,0.884590401395175,1,0.910554580490162,0.925527608752043,0.930069274472622,0.940253531092318,0.917925589590486,0.931848117521085,0.934091946670946,0.837880670935797,0.804689718379052,0.869088670050686,0.840311762976009,0.877428616954864
"CM1",0.838788601166751,0.84119553487191,0.855838002222102,0.910554580490162,1,0.941978696196754,0.897636024367459,0.924890557612261,0.887932024860113,0.907111690260698,0.928040238829438,0.820268726089135,0.787088914901349,0.855546880026398,0.833348067990195,0.871023243091153
"CM2",0.84622090283322,0.856747108271981,0.836820337457604,0.925527608752043,0.941978696196754,1,0.91081831716171,0.937177053407319,0.891904072413017,0.908106261160404,0.944282424405338,0.834085338261946,0.791573607236072,0.861300601986861,0.837690991600571,0.880502681007836
"CM3",0.915882904644224,0.920344548468153,0.865501847314879,0.930069274472622,0.897636024367459,0.91081831716171,1,0.945021945093432,0.945534124690243,0.946473760764374,0.932983865010585,0.858672659928818,0.856739808985161,0.904746589167993,0.894190812116556,0.925265585421696
"CM4",0.874910897184412,0.883300357890628,0.863806125713547,0.940253531092318,0.924890557612261,0.937177053407319,0.945021945093432,1,0.932869673455208,0.945861670356019,0.947220643414612,0.851405090059642,0.827838749040879,0.898363235177678,0.879266988132196,0.906286854242653
"CS1",0.882733940581695,0.886140233039961,0.865108955602954,0.917925589590486,0.887932024860113,0.891904072413017,0.945534124690243,0.932869673455208,1,0.955968525078922,0.922710917051131,0.866535670453601,0.839067602637818,0.913202796476943,0.895042243307499,0.907793439367691
"CS2",0.876445095255465,0.879708751281399,0.875326157449741,0.931848117521085,0.907111690260698,0.908106261160404,0.946473760764374,0.945861670356019,0.955968525078922,1,0.936745646130443,0.871510421542781,0.836728767328529,0.928373631590892,0.906190773272428,0.907408325617773
"CS3",0.870019596357701,0.879408900469619,0.869249962389872,0.934091946670946,0.928040238829438,0.944282424405338,0.932983865010585,0.947220643414612,0.922710917051131,0.936745646130443,1,0.854544308783419,0.801773348340121,0.871303441303419,0.850350019586085,0.895520203394827
"CS4",0.783303193682273,0.787895903715275,0.803422320385351,0.837880670935797,0.820268726089135,0.834085338261946,0.858672659928818,0.851405090059642,0.866535670453601,0.871510421542781,0.854544308783419,1,0.749648025193068,0.838079166430253,0.825230780293802,0.836300807735168
"CI1",0.872336549586737,0.871704687352818,0.755983543841206,0.804689718379052,0.787088914901349,0.791573607236072,0.856739808985161,0.827838749040879,0.839067602637818,0.836728767328529,0.801773348340121,0.749648025193068,1,0.838216336385175,0.841667679107939,0.884034059940681
"CI2",0.843450908624872,0.847512750764374,0.807275591182149,0.869088670050686,0.855546880026398,0.861300601986861,0.904746589167993,0.898363235177678,0.913202796476943,0.928373631590892,0.871303441303419,0.838079166430253,0.838216336385175,1,0.944972201254145,0.888546689815746
"CI3",0.83100007012585,0.833620913686945,0.78232277768029,0.840311762976009,0.833348067990195,0.837690991600571,0.894190812116556,0.879266988132196,0.895042243307499,0.906190773272428,0.850350019586085,0.825230780293802,0.841667679107939,0.944972201254145,1,0.893297260988321
"CI4",0.90062521353709,0.903511372470119,0.822949937125641,0.877428616954864,0.871023243091153,0.880502681007836,0.925265585421696,0.906286854242653,0.907793439367691,0.907408325617773,0.895520203394827,0.836300807735168,0.884034059940681,0.888546689815746,0.893297260988321,1
