"Sample","Total_Counts","Genes_Detected","Mean_Expression"
"H1",1319583,11062,128.259790379342
"H2",1002381,11148,114.708162200953
"H3",918519,11090,168.844412490956
"H4",1369695,11810,102.051431778694
"CM1",2331107,12290,101.244241509674
"CM2",1333759,11907,96.4278837982483
"CM3",2227842,12135,102.855406773169
"CM4",1888419,12057,91.476948132398
"CS1",1315571,11408,116.49604860252
"CS2",2690498,12212,109.582077630281
"CS3",2289687,12305,98.7909505183204
"CS4",3434623,12755,127.212456226855
"CI1",648321,9528,139.461050912963
"CI2",1763165,11697,121.230575614398
"CI3",1556894,11045,128.959020231218
"CI4",1488430,11078,127.365845862514
