"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comparison","GeneSetType"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",192,0.737421470567935,3.44795084998183,1e-10,7.14285714285714e-10,3.30827067669173e-10,1661,"tags=61%, list=12%, signal=54%","SERPINE1/CXCL2/TLR2/CXCL3/CXCL1/PTX3/DUSP1/SGK1/PPP1R15A/FOSB/CCL20/TNFAIP6/NAMPT/G0S2/CCL2/ATF3/IFNGR2/PHLDA1/LDLR/SERPINB2/CD69/CD83/JUN/SOCS3/TRIB1/ZFP36/ZC3H12A/PHLDA2/BCL2A1/ATP2B1/FOSL1/KLF6/BCL6/NINJ1/NFKB1/CDKN1A/CXCL10/AREG/GADD45B/NFKB2/IL6/PFKFB3/MXD1/MCL1/PTGS2/CCL4/PTPRE/NFKBIA/DRAM1/IL1B/IFIT2/PLEK/IFIH1/YRDC/EDN1/OLR1/TNFAIP2/ABCA1/MARCKS/SAT1/GCH1/PDE4B/SPHK1/SOD2/SIK1/EGR2/SPSB1/SLC16A6/DUSP2/RIPK2/EGR3/PLAUR/BIRC2/F3/TANK/FUT4/SERPINB8/SDC4/ETS2/PNRC1/MAFF/TNIP2/HBEGF/GADD45A/VEGFA/TNFAIP3/NR4A3/NR4A1/ID2/IL1A/REL/NFIL3/NR4A2/NFAT5/CCRL2/JAG1/ICAM1/CCNL1/DENND5A/EGR1/INHBA/KDM6B/LAMB3/MAP3K8/ZBTB10/BHLHE40/SLC2A3/TRAF1/DUSP5/DUSP4/HES1/KLF4/KLF10/IER3/IL6ST/CEBPD/CFLAR","COVID_Mild","Hallmark"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",174,0.685890234899489,3.1952112354839,1e-10,7.14285714285714e-10,3.30827067669173e-10,1317,"tags=48%, list=10%, signal=44%","SERPINE1/TLR2/CCL7/C3AR1/FFAR2/EREG/RGS1/CCL20/TNFAIP6/ADM/NAMPT/CCL2/IFNGR2/LDLR/OSM/CD69/AHR/PTGER2/ATP2B1/KLF6/CLEC5A/NFKB1/EIF2AK2/CDKN1A/CXCL10/CD55/IL6/MXD1/AQP9/PTPRE/IRAK2/LY6E/NFKBIA/IL1B/NLRP3/ACVR2A/NMI/EDN1/OLR1/ABCA1/GCH1/PDE4B/SPHK1/RGS16/KCNJ2/RIPK2/GNAI3/LAMP3/TIMP1/GNA15/PLAUR/TNFSF10/IRF7/IL10/F3/C5AR1/LYN/P2RX4/HBEGF/IL1A/FPR1/PROK2/EMP3/IL1R1/BST2/AXL/CCRL2/SLC7A1/ATP2C1/ICAM1/ITGA5/ADORA2B/LPAR1/TNFSF15/HIF1A/INHBA/SGMS2/SRI/RNF144B/CSF3/CD14/NOD2/ACVR1B","COVID_Mild","Hallmark"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",192,0.667834104739555,3.18133287269882,1e-10,5.55555555555556e-10,2.10526315789474e-10,2060,"tags=53%, list=15%, signal=46%","SERPINE1/TLR2/CXCL1/CXCL2/MXD1/NAMPT/CCL20/FOSB/CXCL3/IFNGR2/PFKFB3/TNFAIP2/BCL6/PPP1R15A/LDLR/DUSP1/G0S2/PTGS2/JUN/MCL1/SDC4/JAG1/NFKBIA/ATF3/PLAUR/IL1B/ETS2/TRIB1/BCL2A1/TNFAIP6/SERPINB2/IFIT2/SOD2/CD83/RELA/CCL4/ZC3H12A/EGR3/CCND1/SGK1/TUBB2A/B4GALT1/DRAM1/SLC16A6/FOSL1/PHLDA1/SLC2A3/PDE4B/EDN1/ICAM1/IL6/VEGFA/KLF6/CD69/PLEK/NFIL3/HBEGF/CDKN1A/PTX3/NFKB1/INHBA/SAT1/NINJ1/PHLDA2/B4GALT5/AREG/BCL3/ACKR3/FUT4/OLR1/PER1/CFLAR/BMP2/ABCA1/MAP3K8/NR4A1/IFIH1/MARCKS/EGR1/TNFAIP3/ATP2B1/NR4A3/SOCS3/SPHK1/EFNA1/GCH1/ZFP36/TSC22D1/IL1A/TNIP2/IL18/LITAF/PTPRE/CXCL10/LAMB3/F3/BIRC2/TNIP1/CXCL6/RIPK2/PLAU/SPSB1","COVID_Severe","Hallmark"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",174,0.616457670061656,2.91543639040364,1e-10,5.55555555555556e-10,2.10526315789474e-10,2015,"tags=49%, list=15%, signal=42%","SERPINE1/ADM/TLR2/MXD1/NAMPT/CCL20/P2RX4/IFNGR2/FPR1/GPC3/SLC7A2/FFAR2/EREG/AQP9/LDLR/OSM/NFKBIA/NLRP3/PLAUR/IL1B/TNFAIP6/PROK2/RELA/BEST1/CD55/ACVR2A/C5AR1/PDE4B/EDN1/PVR/ICAM1/IL6/FZD5/KLF6/CD69/PTGER2/GNA15/HBEGF/LPAR1/KCNJ2/CSF3R/CDKN1A/PSEN1/NFKB1/INHBA/CD14/IL15/IL10/NOD2/OLR1/AHR/MMP14/IL1R1/ABCA1/ATP2C1/ADORA2B/LAMP3/MET/GNAI3/RHOG/ATP2B1/SPHK1/PTAFR/IRAK2/TNFSF10/RGS16/CLEC5A/IRF7/RNF144B/ATP2A2/GCH1/IL1A/IL18/LYN/PTPRE/CXCL10/STAB1/HIF1A/F3/SGMS2/SCN1B/NMI/CXCL6/RIPK2/LY6E","COVID_Severe","Hallmark"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",192,0.623054574045603,2.89823760481088,1e-10,1.25e-09,5.52631578947368e-10,2349,"tags=52%, list=18%, signal=44%","IFNGR2/SERPINE1/TLR2/PPP1R15A/DUSP1/CXCL2/BCL6/NAMPT/CXCL1/INHBA/CCL20/TNFAIP2/MXD1/PFKFB3/TRIB1/CXCL3/NFKBIA/SAT1/FOSB/PTX3/PTGS2/CEBPB/ZFP36/MCL1/IL1B/IRS2/SOD2/FUT4/FOSL1/SDC4/JAG1/DRAM1/OLR1/PER1/TNFAIP6/AREG/NFIL3/GADD45B/GADD45A/KLF4/SLC2A3/BCL2A1/ACKR3/FOS/SERPINB2/CD83/G0S2/PLEK/SLC16A6/LDLR/B4GALT1/ETS2/JUN/PLAUR/KLF6/ICAM1/SGK1/CCNL1/MAP2K3/B4GALT5/VEGFA/GCH1/IL6/F3/PTPRE/IER5/F2RL1/MARCKS/SERPINB8/PHLDA1/YRDC/EDN1/CCL4/CFLAR/EGR2/BCL3/BMP2/PHLDA2/MAP3K8/KDM6B/EGR3/RCAN1/RNF19B/PLAU/ATP2B1/MAFF/TNFAIP3/CEBPD/HBEGF/PNRC1/SLC2A6/JUNB/IL18/EGR1/RIPK2/TANK/BTG3/CXCL6/GPR183/DENND5A","COVID_Critical","Hallmark"
"REACTOME_INTERLEUKIN_10_SIGNALING","REACTOME_INTERLEUKIN_10_SIGNALING",41,0.739989613567785,2.63534944508664,1e-10,5.93333333333333e-09,5.03759398496241e-09,917,"tags=54%, list=7%, signal=50%","CXCL2/CXCL1/CCL20/CCL2/CCL3/CCL3L3/CCR1/CXCL10/IL6/PTGS2/CCL4/IL1RN/IL1B/TYK2/TIMP1/IL10/IL1A/CCR5/FPR1/IL1R1/IL1R2/ICAM1","COVID_Mild","Reactome"
"REACTOME_INTERLEUKIN_10_SIGNALING","REACTOME_INTERLEUKIN_10_SIGNALING",41,0.719368446997736,2.56753624187933,3.48719469692056e-10,2.55590858374295e-08,2.08583905710542e-08,1746,"tags=54%, list=13%, signal=47%","CXCL1/CXCL2/IL1R2/CCL20/FPR1/CCL3/IL1RN/PTGS2/IL1B/CCL3L3/CCL4/TYK2/ICAM1/IL6/IL10/IL1R1/PTAFR/IL1A/IL18/CCR2/CCR1/CXCL10","COVID_Severe","Reactome"
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING",85,0.586161618595064,2.41539629559735,7.11869199418012e-10,3.69578759364518e-08,3.13784449743466e-08,2388,"tags=49%, list=18%, signal=41%","CCL2/ITGAX/OSM/SOCS3/BCL6/CDKN1A/IL6/MCL1/PTGS2/IL1B/STAT1/TYK2/TIMP1/IL10/PIM1/VEGFA/IL1A/SOCS1/HSP90B1/FOXO3/HSP90AA1/ICAM1/HIF1A/VIM/CD36/HGF/BIRC5/LAMA5/ITGAM/ALOX5/AKT1/CEBPD/JAK2/RORA/MMP9/MYC/ZEB1/ANXA1/POU2F1/FOS/ITGB1/JAK1","COVID_Mild","Reactome"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",174,0.516434564245889,2.37391500991825,1e-10,1.25e-09,5.52631578947368e-10,2609,"tags=48%, list=19%, signal=39%","IFNGR2/SERPINE1/ADM/TLR2/NAMPT/INHBA/CCL20/EREG/MXD1/C3AR1/P2RX4/FPR1/CSF3R/AQP9/NFKBIA/CYBB/GNA15/NLRP3/BEST1/IL1B/SRI/FFAR2/AHR/OLR1/TNFAIP6/ATP2C1/LYN/GPC3/IL1R1/RNF144B/SGMS2/GNAI3/IL4R/CD55/CD82/CLEC5A/HIF1A/PTGER2/LDLR/C5AR1/GP1BA/PLAUR/IRAK2/KLF6/ICAM1/IL10/PROK2/KCNJ2/GCH1/IL6/F3/PTPRE/LPAR1/TIMP1/OSM/IL18R1/EDN1/KIF1B/CALCRL/TLR1/PSEN1/IL18RAP/RGS1/SLC11A2/EMP3/SELL/CCL7/ATP2B1/PVR/MET/HBEGF/IL18/CSF3/NMI/RIPK2/P2RX7/CXCL6/GPR183/SLC31A1/BTG2/NOD2/ACVR1B/NFKB1/FZD5","COVID_Critical","Hallmark"
"REACTOME_INTERLEUKIN_10_SIGNALING","REACTOME_INTERLEUKIN_10_SIGNALING",41,0.587275265828696,2.10635387489361,2.48153826480287e-05,0.000687110372876529,0.000570608681707889,1649,"tags=49%, list=12%, signal=43%","CXCL2/CXCL1/IL1R2/CCL20/FPR1/PTGS2/CCL3/IL1B/STAT3/IL1R1/IL1RN/CCL3L3/IL10RB/ICAM1/IL10/IL6/TIMP1/CCL4/CCR2/TYK2","COVID_Critical","Reactome"
