"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comparison","GeneSetType"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",186,0.694030306151921,3.24759369366672,1e-10,7.14285714285714e-10,3.30827067669173e-10,2285,"tags=61%, list=17%, signal=52%","CCL7/IFI27/FCGR1A/TNFAIP6/IFITM3/NAMPT/CCL2/PNP/IFI44/CD69/OAS3/SOCS3/MX1/SERPING1/PARP14/IFI44L/FAS/LGALS3BP/MYD88/EPSTI1/NFKB1/EIF2AK2/CDKN1A/CXCL10/CMPK2/IL6/HELZ2/PTGS2/ADAR/IFIT1/LY6E/NFKBIA/SPPL2A/IFIT3/IFIT2/IFITM2/OASL/LAP3/SAMD9L/ISG15/IFIH1/NMI/ST8SIA4/HERC6/TNFAIP2/STAT1/GCH1/TRIM25/PDE4B/PLSCR1/SOD2/RSAD2/PARP12/CSF2RB/RIPK2/OAS2/IFI35/RAPGEF6/TNFSF10/ISG20/XAF1/IRF7/PIM1/PELI1/DHX58/TRIM14/TNFAIP3/MTHFD2/CMTR1/ARL4A/SOCS1/FPR1/MX2/CD38/BST2/SECTM1/FGL2/LATS2/ICAM1/MT2A/LYSMD2/PSMA3/HIF1A/BATF2/ZNFX1/PSMA2/UBE2L6/GPR18/SRI/ZBP1/BANK1/CD274/SP110/TRAFD1/PSMB8/TOR1B/RNF213/CASP4/DDX60/JAK2/IRF2/PTPN2/IL15RA/IL18BP/IL2RB/RTP4/PSME1/EIF4E3/USP18/ARID5B/SSPN/CASP7/PNPT1/CD86","COVID_Mild","Hallmark"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",91,0.724159173482324,3.0379737454724,1e-10,7.14285714285714e-10,3.30827067669173e-10,2435,"tags=70%, list=18%, signal=58%","IFI27/IFITM3/IFI44/MX1/PARP14/IFI44L/LGALS3BP/EPSTI1/EIF2AK2/CXCL10/CMPK2/HELZ2/SAMD9/OAS1/ADAR/LY6E/IFIT3/PARP9/IFIT2/IFITM2/OASL/LAP3/SAMD9L/ISG15/IFIH1/NCOA7/NMI/HERC6/TRIM25/PLSCR1/RSAD2/PARP12/RIPK2/IFI35/LAMP3/ISG20/IRF7/DHX58/TRIM14/GMPR/CMTR1/HLA-C/BST2/CCRL2/PSMA3/TRIM5/GBP2/BATF2/UBE2L6/ELF1/SP110/TRAFD1/PSMB8/CNP/DDX60/IRF2/SELL/RTP4/PSME1/USP18/PNPT1/CXCL11/TDRD7/LPAR6","COVID_Mild","Hallmark"
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",62,0.652585533250342,2.53285765686202,1e-10,5.93333333333333e-09,5.03759398496241e-09,1081,"tags=50%, list=8%, signal=46%","IFI27/IFITM3/OAS3/IFI6/SOCS3/MX1/EIF2AK2/OAS1/ADAR/IFIT1/IFIT3/IFIT2/IFITM2/OASL/ISG15/STAT1/RSAD2/TYK2/OAS2/IFI35/ISG20/XAF1/IRF7/SOCS1/HLA-C/MX2/BST2/IFIT5/EGR1/GBP2/PTPN11","COVID_Mild","Reactome"
"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING",225,0.523933419830455,2.50096324421795,1e-10,5.93333333333333e-09,5.03759398496241e-09,2438,"tags=44%, list=18%, signal=37%","IFI27/FCGR1A/IFITM3/IFNGR2/IFI44/OAS3/IFI6/EIF4G1/SOCS3/MX1/IFI44L/HERC5/EIF2AK2/OAS1/ADAR/IFIT1/IFIT3/IFIT2/GBP1/IFITM2/OASL/TRIM22/ISG15/IFIH1/CDK1/STAT1/TRIM25/SEH1L/SPHK1/RSAD2/TYK2/OAS2/IFI35/UBE2N/ISG20/XAF1/GBP3/IRF7/KPNA2/IFNGR1/DNAJC3/TRIM14/PPP2CB/EIF4A1/SOCS1/HLA-C/MX2/BST2/RANBP2/EIF4E/IFIT5/ICAM1/MT2A/NUP160/EGR1/GBP5/PIAS1/NUP98/TRIM5/GBP2/FANCA/BECN1/EIF4G3/PTPN11/TUBB6/SP100/NUP54/UBE2L6/EIF4A2/HSPA2/PRKCD/PPP2R1B/PSMB8/EIF4G2/ABCE1/JAK2/IRF2/CAMK2D/TRIM38/PTPN2/SUMO1/TUBB3/FANCC/EIF2S2/IFNB1/HLA-E/FANCG/PPP2CA/PTAFR/EIF4E3/USP18/NUP153/TRIM45/UBB/FKBP5/NUP107/NUP205/JAK1/FANCM/EIF2S1","COVID_Mild","Reactome"
"REACTOME_MODULATION_OF_HOST_RESPONSES_BY_IFN_STIMULATED_GENES","REACTOME_MODULATION_OF_HOST_RESPONSES_BY_IFN_STIMULATED_GENES",18,0.817553206475977,2.40425750972676,3.16472317758877e-07,1.15977796449282e-05,9.84689409745112e-06,325,"tags=44%, list=2%, signal=43%","IFI27/IFI44/IFI6/IFI44L/HERC5/ISG15/IFIH1/TRIM25","COVID_Mild","Reactome"
"REACTOME_INTERFERON_GAMMA_SIGNALING","REACTOME_INTERFERON_GAMMA_SIGNALING",78,0.561882291633954,2.28368866323418,3.44092965198841e-08,1.47841322288881e-06,1.25522116161465e-06,2502,"tags=47%, list=19%, signal=39%","FCGR1A/IFNGR2/OAS3/SOCS3/OAS1/GBP1/OASL/TRIM22/STAT1/TRIM25/OAS2/GBP3/IRF7/IFNGR1/TRIM14/SOCS1/HLA-C/ICAM1/MT2A/GBP5/PIAS1/TRIM5/GBP2/PTPN11/SP100/PRKCD/JAK2/IRF2/CAMK2D/TRIM38/PTPN2/SUMO1/HLA-E/PTAFR/TRIM45/JAK1/YBX1","COVID_Mild","Reactome"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",186,0.478232602460325,2.27550777585752,1e-10,5.55555555555556e-10,2.10526315789474e-10,2121,"tags=38%, list=16%, signal=32%","NAMPT/FPR1/TNFAIP2/IFI27/FCGR1A/PTGS2/NFKBIA/TNFAIP6/IFIT2/SOD2/TRIM25/IFITM2/MYD88/PNP/PDE4B/ICAM1/IFITM3/IL6/CD69/IFI44L/SERPING1/CDKN1A/PELI1/NFKB1/CASP4/HELZ2/FAS/IL15/PIM1/SAMD9L/LATS2/MX1/PARP12/SPPL2A/IFIT3/BATF2/OASL/IFIT1/ISG15/SOCS1/TDRD7/CSF2RB/PARP14/ST8SIA4/IFIH1/PSMA2/EPSTI1/TNFAIP3/ARL4A/C1S/HERC6/SOCS3/ADAR/CMPK2/TNFSF10/IRF7/GCH1/OAS2/UPP1/IFI44/CXCL10/CMTR1/HIF1A/OGFR/NLRC5/NMI/RIPK2/LY6E/OAS3/BST2","COVID_Severe","Hallmark"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",91,0.517551680898192,2.21769074425209,1.20475723261422e-07,3.76486635191943e-07,1.42668619651684e-07,2828,"tags=55%, list=21%, signal=44%","IFI27/IFIT2/TRIM25/IFITM2/IFITM3/IFI44L/HELZ2/IL15/SAMD9L/MX1/PARP12/IFIT3/BATF2/CNP/OASL/ISG15/TDRD7/PARP14/PARP9/IFIH1/LAMP3/OAS1/EPSTI1/C1S/SAMD9/HERC6/ADAR/CMPK2/IRF7/IFI44/CXCL10/CMTR1/OGFR/NMI/RIPK2/LY6E/BST2/LGALS3BP/IFI35/EIF2AK2/GBP2/NCOA7/TRIM5/ISG20/TMEM140/ELF1/RSAD2/TRAFD1/PLSCR1/PSMA3","COVID_Severe","Hallmark"
"REACTOME_MODULATION_OF_HOST_RESPONSES_BY_IFN_STIMULATED_GENES","REACTOME_MODULATION_OF_HOST_RESPONSES_BY_IFN_STIMULATED_GENES",18,0.738277372881839,2.16549501745476,5.27365749147964e-05,0.00107759864529081,0.000879412259314796,2872,"tags=72%, list=21%, signal=57%","IFI27/TRIM25/IFI44L/HERC5/HSPA5/ISG15/IFIH1/CHUK/IFI44/FKBP5/IFI6/EIF2AK3/ARIH1","COVID_Severe","Reactome"
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES","REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES",130,0.454323337654942,2.008061838634,5.57242832875336e-07,1.92867936045186e-05,1.63751183344945e-05,2438,"tags=41%, list=18%, signal=34%","OAS3/EIF4G1/MX1/HERC5/EIF2AK2/OAS1/ADAR/IFIT1/OASL/ISG15/CDK1/STAT1/TRIM25/SEH1L/SPHK1/OAS2/UBE2N/KPNA2/DNAJC3/PPP2CB/EIF4A1/MX2/RANBP2/EIF4E/NUP160/NUP98/FANCA/BECN1/EIF4G3/TUBB6/NUP54/UBE2L6/EIF4A2/HSPA2/PPP2R1B/EIF4G2/ABCE1/PTPN2/SUMO1/TUBB3/FANCC/EIF2S2/FANCG/PPP2CA/EIF4E3/USP18/NUP153/UBB/NUP107/NUP205/JAK1/FANCM/EIF2S1","COVID_Mild","Reactome"
