"Gene","Mean_Expression"
"RPL27A",31051.3182709676
"S100A9",25101.8573847205
"ITGB2",18769.3186639481
"PSAP",18756.8016094828
"B2M",16630.2986679631
"RPL37A",14595.3805303777
"ACTB",14001.0990965802
"RPS27A",13756.2737597465
"RPS12",13156.3577323394
"RPS24",12531.6907077206
"TMSB4X",11172.2781135611
"RPL7A",10415.8605711208
"NFKBIA",9775.29416468855
"RPS29",8908.08260103164
"TPT1",7194.2874212952
"IL1B",7103.04214106445
"S100A4",7079.66432996678
"RPS8",6982.32539323979
"EEF1A1",6929.76336042681
"S100A8",6928.17770304848
